Title line:""
108
G4
103
119
121
124
B103
B108
B128
Pop
  Pop1, 0104 0102 0404 0608 0108 0303 1224 0000 0710
  Pop1, 0106 0102 0404 0606 0811 0606 1224 0000 0710
  Pop1, 0104 0102 0404 0608 0108 0303 0924 0000 0623
  Pop1, 0101 0102 0404 0608 0108 0303 1224 0000 0710
  Pop1, 0104 0102 0404 0608 0108 0303 1224 0000 0623
  Pop1, 0103 0102 0000 0608 0101 0303 1224 0000 0710
  Pop1, 0101 0102 0000 0608 0101 0303 0924 0000 0623
  Pop1, 0104 0102 0404 0608 0108 0303 0000 0000 0723
Pop
  Pop2, 0103 0102 0000 0506 1011 0000 0000 0000 0000
  Pop2, 0101 0102 0000 0609 0608 0709 0840 0808 0000
  Pop2, 0101 0101 0303 0709 0610 0309 0832 0808 1515
  Pop2, 0305 0202 0303 0505 0612 0709 1020 0508 1414
  Pop2, 0000 0101 0000 0607 0111 0607 0810 0108 0000
  Pop2, 0103 0101 0303 0109 0609 0307 2032 0111 0816
  Pop2, 0305 0102 0000 0608 0909 0506 1044 0109 1111
  Pop2, 0106 0101 0000 0505 0106 0307 0808 0109 1417
  Pop2, 0107 0101 0303 0610 1010 0606 3441 0101 0000
  Pop2, 0107 0102 0303 0707 0608 0609 0812 0809 1414
  Pop2, 0103 0202 0303 0607 0910 0607 1032 0811 1616
  Pop2, 0106 0202 0304 0608 0911 0509 0832 0811 1818
Pop
  Pop3, 0101 0102 0303 0000 0611 0303 1013 0707 0000
  Pop3, 0101 0102 0303 0505 1114 0305 0909 0707 1218
Pop
  Pop4, 0103 0102 0404 0505 0411 0606 0606 0000 0909
  Pop4, 0103 0202 0304 0506 0910 0506 0707 0000 0909
  Pop4, 0103 0102 0304 0505 1010 0609 0709 0000 0909
  Pop4, 0103 0102 0304 0709 0409 0606 0000 0000 0909
  Pop4, 0506 0102 0304 0507 0110 0609 0606 0000 0909
  Pop4, 0606 0101 0404 0107 0111 0609 0606 0000 0909
  Pop4, 0103 0202 0303 0106 0101 0606 0808 0000 0909
  Pop4, 0305 0102 0304 0508 1111 0505 0909 0000 0909
  Pop4, 0106 0102 0303 0709 1010 0709 0000 0000 0909
Pop
  Pop5, 0506 0202 0303 0109 0910 0307 2733 0000 0000
  Pop5, 0506 0102 0303 0509 0110 0609 0835 0000 0000
  Pop5, 0101 0102 0303 0509 0910 0509 0635 0000 0000
  Pop5, 0107 0202 0303 0509 1010 0305 0632 0000 0000
  Pop5, 0104 0101 0303 0607 1010 0607 1432 0000 0000
  Pop5, 0104 0202 0303 0609 1010 0607 0832 0000 0000
  Pop5, 0101 0102 0303 0707 1010 0307 1432 0000 0000
  Pop5, 0101 0202 0303 0509 1010 0909 1935 0000 1416
  Pop5, 0106 0101 0303 0509 1011 0306 0831 0000 0000
  Pop5, 0105 0102 0304 0609 1011 0306 0916 0000 0000
  Pop5, 0107 0202 0303 0713 0911 0606 0827 0000 1616
  Pop5, 0105 0102 0303 0000 0910 0607 3131 0000 0000
  Pop5, 0105 0102 0303 0506 0110 0709 3235 0000 0000
  Pop5, 0101 0101 0303 0607 0909 0306 0832 0000 0000
  Pop5, 0106 0202 0303 0505 1011 0303 1414 0000 1010
  Pop5, 0106 0102 0303 0109 0909 0309 0631 0000 0000
  Pop5, 0000 0102 0303 0509 1010 0306 3232 0000 1015
  Pop5, 0000 0102 0303 0505 1010 0306 0832 0000 1416
  Pop5, 0101 0102 0303 0606 0911 0307 3131 0000 1420
  Pop5, 0101 0202 0303 0509 0812 0307 1417 0000 0000
  Pop5, 0105 0101 0303 0507 1011 0307 0614 0000 0000
Pop
  Pop6, 0000 0102 0303 0212 0708 0508 0000 0000 0000
  Pop6, 0307 0101 0415 0612 0108 0307 0000 0000 0000
  Pop6, 0105 0101 0203 0000 0108 0707 0000 0000 0000
  Pop6, 0506 0101 1515 0000 0000 0707 0000 0000 0000
  Pop6, 0606 0101 0215 0207 0110 0707 0000 0000 0000
  Pop6, 0606 0102 0304 0505 0108 0707 0000 0000 0000
  Pop6, 0606 0102 0404 0505 0108 0707 0000 0000 0000
  Pop6, 0506 0202 0203 0712 0000 0507 0000 0000 0000
  Pop6, 0306 0101 0000 0512 0808 0708 0000 0000 0000
  Pop6, 0306 0101 0313 0507 0108 0707 0000 0000 0000
  Pop6, 0606 0101 0215 0607 0110 0707 0000 0000 0000
  Pop6, 0106 0101 0000 0512 0104 0808 0000 0000 0000
  Pop6, 0106 0101 0220 0505 0708 0607 0000 0000 0000
  Pop6, 0606 0202 1415 0712 0107 0708 0000 0000 0000
  Pop6, 0506 0202 0415 0505 0808 0707 0000 0000 0000
  Pop6, 0606 0102 0320 0512 0101 0707 0000 0000 0000
  Pop6, 0606 0102 0314 0506 0101 0606 0000 0000 0000
  Pop6, 0103 0102 0320 0512 0408 0508 0000 0000 0000
  Pop6, 0506 0101 0314 0205 0108 0707 0000 0000 0000
  Pop6, 0506 0202 0314 0507 0000 0707 0000 0000 0000
  Pop6, 0106 0101 0303 0505 0101 0607 0000 0000 0000
  Pop6, 0306 0102 1114 0707 0106 0708 0000 0000 0000
  Pop6, 0606 0102 1115 0612 0108 0707 0000 0000 0000
  Pop6, 0306 0101 0000 0505 0000 0707 0617 0507 0000
  Pop6, 0308 0102 0000 0506 0000 0407 0611 0709 1414
  Pop6, 0506 0102 0000 0505 0000 0707 0606 0809 1616
  Pop6, 0508 0102 0000 0505 0000 0507 1743 0709 0616
  Pop6, 0508 0102 0000 0507 0000 0707 0612 0609 0613
  Pop6, 0606 0101 0000 0000 0000 0000 0606 0606 0610
  Pop6, 0606 0101 0000 0607 0000 0607 0611 0609 0000
  Pop6, 0606 0101 0000 0607 0000 0707 0611 0609 0000
  Pop6, 0606 0102 0000 0505 0000 0707 0618 0909 0000
  Pop6, 0606 0202 0000 0505 0000 0707 1833 1010 0000
  Pop6, 0606 0202 0000 0707 0000 0307 1333 0609 0606
  Pop6, 0607 0102 0000 0507 0000 0707 1118 0915 0303
  Pop6, 0608 0102 0000 0000 0000 0607 0000 0509 1313
Pop
  Pop7, 0306 0101 0303 0507 0111 0507 0606 0712 1414
